INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
291	102892410	102892410	5.979	5.0225	500	100	500	100	500	100	500	100	500	50	500	50	500	200	180317	67208	77591	7759	47484	53424	123684	95605	96989	104237	20978	47802	874800	0	5000	8780	1280350	28846	28846	29500	-1	-1	-1	-1	-1	-1	-1	-1	322	322	322	322	4048	166000
292	104683902	104683902	5.9981	5.037	500	100	500	100	500	100	500	100	500	50	500	50	500	200	182075	67792	78325	7833	48086	54082	124980	96568	97964	105383	21209	48284	879840	0	5000	8810	1289130	29005	29005	29600	-1	-1	-1	-1	-1	-1	-1	-1	324	324	324	324	4072	166000
293	106550104	106550104	6.0173	5.0515	500	100	500	100	500	100	500	100	500	50	500	50	500	200	183845	68379	79063	7906	48692	54748	126285	97538	98947	106539	21441	48769	885600	0	5000	8840	1297940	29165	29165	29700	-1	-1	-1	-1	-1	-1	-1	-1	326	326	326	326	4098	166000
294	108440374	108440374	6.0365	5.066	500	100	500	100	500	100	500	100	500	50	500	50	500	200	185626	68969	79807	7981	49306	55420	127601	98515	99937	107704	21676	49258	891360	0	5000	8870	1306780	29325	29325	29800	-1	-1	-1	-1	-1	-1	-1	-1	328	328	328	328	4124	166000
295	110354880	110354880	6.0557	5.0805	500	100	500	100	500	100	500	100	500	50	500	50	500	200	187420	69562	80555	8055	49924	56098	128927	99499	100934	108878	21912	49750	897120	0	5000	8900	1315650	29486	29486	29900	-1	-1	-1	-1	-1	-1	-1	-1	330	330	330	330	4150	166000
296	112240034	112240034	6.0749	5.095	500	100	500	100	500	100	500	100	500	50	500	50	500	200	189226	70158	81307	8131	50550	56782	130262	100490	101938	110062	22150	50245	902160	0	5000	8930	1324550	29648	29648	30000	-1	-1	-1	-1	-1	-1	-1	-1	332	332	332	332	4174	166000
297	114201411	114201411	6.094	5.1095	500	100	500	100	500	100	500	100	500	50	500	50	500	200	191043	70757	82065	8207	51180	57472	131608	101488	102949	111256	22391	50744	907920	0	5000	8960	1333480	29810	29810	30100	-1	-1	-1	-1	-1	-1	-1	-1	334	334	334	334	4200	166000
298	116189016	116189016	6.1132	5.124	500	100	500	100	500	100	500	100	500	50	500	50	500	200	192873	71359	82828	8283	51816	58170	132963	102493	103968	112459	22633	51247	912960	0	5000	8990	1342440	29973	29973	30200	-1	-1	-1	-1	-1	-1	-1	-1	336	336	336	336	4226	166000
299	118201524	118201524	6.1324	5.1384	500	100	500	100	500	100	500	100	500	50	500	50	500	200	194714	71964	83595	8360	52460	58874	134329	103505	104993	113673	22877	51753	918720	0	5000	9020	1351430	30136	30136	30300	-1	-1	-1	-1	-1	-1	-1	-1	338	338	338	338	4252	166000
300	120239104	120239104	6.1516	5.1529	500	100	500	100	500	100	500	100	500	50	500	50	500	200	196568	72572	84368	8437	53108	59584	135705	104525	106026	114896	23123	52262	924480	0	5000	9050	1360450	30299	30299	30400	-1	-1	-1	-1	-1	-1	-1	-1	340	340	340	340	4278	166000
301	122301923	122301923	6.1708	5.1674	500	100	500	100	500	100	500	100	500	50	500	50	500	200	198434	73184	85145	8515	53764	60300	137092	105551	107066	116129	23371	52776	930240	0	5000	9080	1369500	30424	30424	30500	-1	-1	-1	-1	-1	-1	-1	-1	342	342	342	342	4304	166000
302	124390149	124390149	6.1899	5.1819	500	100	500	100	500	100	500	100	500	50	500	50	500	200	200312	73798	85928	8593	54424	61024	138488	106585	108113	117372	23621	53292	936000	0	5000	9110	1378580	30603	30603	30600	-1	-1	-1	-1	-1	-1	-1	-1	344	344	344	344	4330	166000
303	126505509	126505509	6.2091	5.1964	500	100	500	100	500	100	500	100	500	50	500	50	500	200	202203	74415	86715	8672	55092	61754	139895	107626	109168	118625	23874	53813	941040	0	5000	9140	1387690	30783	30783	30700	-1	-1	-1	-1	-1	-1	-1	-1	346	346	346	346	4356	166000
304	128645063	128645063	6.2283	5.2109	500	100	500	100	500	100	500	100	500	50	500	50	500	200	204106	75036	87508	8751	55766	62490	141312	108674	110229	119888	24128	54337	946800	0	5000	9170	1396830	30960	30960	30800	-1	-1	-1	-1	-1	-1	-1	-1	348	348	348	348	4382	166000
305	130871430	130871430	6.2475	5.2254	500	100	500	100	500	100	500	100	500	50	500	50	500	200	206021	75659	88305	8831	56446	63232	142740	109729	111299	121161	24384	54865	953280	0	5000	9200	1406000	31127	31127	30900	-1	-1	-1	-1	-1	-1	-1	-1	350	350	350	350	4410	166000
306	133065212	133065212	6.2667	5.2399	500	100	500	100	500	100	500	100	500	50	500	50	500	200	207948	76285	89108	8911	57132	63982	144178	110792	112375	122444	24642	55396	958320	0	5000	9230	1415200	31294	31294	31000	-1	-1	-1	-1	-1	-1	-1	-1	352	352	352	352	4436	166000
307	135285264	135285264	6.2858	5.2544	500	100	500	100	500	100	500	100	500	50	500	50	500	200	209888	76915	89915	8992	57824	64740	145627	111862	113459	123738	24903	55931	964080	0	5000	9260	1424430	31461	31461	31100	-1	-1	-1	-1	-1	-1	-1	-1	354	354	354	354	4462	166000
308	137531756	137531756	6.305	5.2689	500	100	500	100	500	100	500	100	500	50	500	50	500	200	211840	77547	90728	9073	58524	65504	147086	112939	114551	125042	25165	56470	969840	0	5000	9290	1433690	31630	31630	31200	-1	-1	-1	-1	-1	-1	-1	-1	356	356	356	356	4488	166000
309	139868384	139868384	6.3242	5.2833	500	100	500	100	500	100	500	100	500	50	500	50	500	200	213805	78183	91545	9155	59230	66274	148556	114024	115649	126356	25430	57012	975600	0	5000	9320	1442980	31798	31798	31300	-1	-1	-1	-1	-1	-1	-1	-1	358	358	358	358	4516	166000
310	142170549	142170549	6.3434	5.2978	500	100	500	100	500	100	500	100	500	50	500	50	500	200	215782	78821	92368	9237	59942	67052	150036	115116	116756	127680	25696	57558	981360	0	5000	9350	1452300	31968	31968	31400	-1	-1	-1	-1	-1	-1	-1	-1	360	360	360	360	4542	166000
311	144499679	144499679	6.3626	5.3123	500	100	500	100	500	100	500	100	500	50	500	50	500	200	217772	79463	93196	9320	60660	67836	151528	116216	117870	129015	25965	58108	987120	0	5000	9380	1461650	32138	32138	31500	-1	-1	-1	-1	-1	-1	-1	-1	362	362	362	362	4568	166000
312	146919850	146919850	6.3817	5.3268	500	100	500	100	500	100	500	100	500	50	500	50	500	200	219775	80108	94029	9403	61386	68628	153030	117323	118991	130361	26236	58661	992880	0	5000	9410	1471030	32308	32308	31600	-1	-1	-1	-1	-1	-1	-1	-1	364	364	364	364	4596	166000
313	149305742	149305742	6.4009	5.3413	500	100	500	100	500	100	500	100	500	50	500	50	500	200	221790	80756	94867	9487	62118	69426	154542	118438	120120	131717	26509	59219	998640	0	5000	9440	1480440	32479	32479	31700	-1	-1	-1	-1	-1	-1	-1	-1	366	366	366	366	4622	166000
314	151784382	151784382	6.4201	5.3558	500	100	500	100	500	100	500	100	500	50	500	50	500	200	223818	81406	95711	9571	62856	70232	156066	119560	121257	133083	26784	59780	1005120	0	5000	9470	1489880	32651	32651	31800	-1	-1	-1	-1	-1	-1	-1	-1	368	368	368	368	4650	166000
315	154293720	154293720	6.4393	5.3703	500	100	500	100	500	100	500	100	500	50	500	50	500	200	225858	82060	96559	9656	63602	71046	157600	120689	122401	134461	27061	60345	1010880	0	5000	9500	1499350	32823	32823	31900	-1	-1	-1	-1	-1	-1	-1	-1	370	370	370	370	4678	166000
316	156765658	156765658	6.4585	5.3847	500	100	500	100	500	100	500	100	500	50	500	50	500	200	227911	82717	97413	9741	64354	71866	159146	121827	123553	135849	27340	60913	1016640	0	5000	9530	1508850	32996	32996	32000	-1	-1	-1	-1	-1	-1	-1	-1	372	372	372	372	4704	166000
317	159334628	159334628	6.4777	5.3992	500	100	500	100	500	100	500	100	500	50	500	50	500	200	229978	83377	98272	9827	65114	72692	160702	122972	124713	137247	27622	61486	1022400	0	5000	9560	1518380	33169	33169	32100	-1	-1	-1	-1	-1	-1	-1	-1	374	374	374	374	4732	166000
318	161865190	161865190	6.4968	5.4137	500	100	500	100	500	100	500	100	500	50	500	50	500	200	232057	84040	99136	9914	65880	73528	162270	124124	125880	138657	27905	62062	1028160	0	5000	9590	1527940	33343	33343	32200	-1	-1	-1	-1	-1	-1	-1	-1	376	376	376	376	4758	166000
319	164492847	164492847	6.516	5.4282	500	100	500	100	500	100	500	100	500	50	500	50	500	200	234149	84706	100005	10001	66652	74370	163848	125285	127056	140077	28191	62642	1033920	0	5000	9620	1537530	33518	33518	32300	-1	-1	-1	-1	-1	-1	-1	-1	378	378	378	378	4786	166000
320	167152187	167152187	6.5352	5.4427	500	100	500	100	500	100	500	100	500	50	500	50	500	200	236253	85375	100880	10088	67432	75218	165438	126453	128239	141509	28479	63226	1040400	0	5000	9650	1547150	33693	33693	32400	-1	-1	-1	-1	-1	-1	-1	-1	380	380	380	380	4814	166000
321	169841688	169841688	6.5544	5.4571	500	100	500	100	500	100	500	100	500	50	500	50	500	200	238371	86047	101760	10176	68218	76076	167039	127628	129429	142951	28770	63814	1046160	0	5000	9680	1556800	33869	33869	32500	-1	-1	-1	-1	-1	-1	-1	-1	382	382	382	382	4842	166000
322	172563273	172563273	6.5736	5.4716	500	100	500	100	500	100	500	100	500	50	500	50	500	200	240502	86722	102646	10265	69012	76940	168651	128812	130628	144404	29062	64406	1052640	0	5000	9710	1566480	34045	34045	32600	-1	-1	-1	-1	-1	-1	-1	-1	384	384	384	384	4870	166000
323	175317156	175317156	6.5927	5.4861	500	100	500	100	500	100	500	100	500	50	500	50	500	200	242646	87401	103536	10354	69812	77812	170274	130003	131835	145869	29357	65002	1058400	0	5000	9740	1576190	34222	34222	32700	-1	-1	-1	-1	-1	-1	-1	-1	386	386	386	386	4898	166000
324	178101783	178101783	6.6119	5.5006	500	100	500	100	500	100	500	100	500	50	500	50	500	200	244803	88082	104432	10443	70620	78690	171909	131202	133049	147344	29654	65601	1064160	0	5000	9770	1585930	34400	34400	32800	-1	-1	-1	-1	-1	-1	-1	-1	388	388	388	388	4926	166000
325	180919107	180919107	6.6311	5.5151	500	100	500	100	500	100	500	100	500	50	500	50	500	200	246973	88766	105334	10533	71436	79578	173555	132409	134272	148831	29953	66205	1070640	0	5000	9800	1595700	34578	34578	32900	-1	-1	-1	-1	-1	-1	-1	-1	390	390	390	390	4954	166000
326	183767560	183767560	6.6503	5.5295	500	100	500	100	500	100	500	100	500	50	500	50	500	200	249156	89453	106240	10624	72258	80472	175212	133624	135502	150330	30255	66812	1076400	0	5000	9830	1605500	34756	34756	33000	-1	-1	-1	-1	-1	-1	-1	-1	392	392	392	392	4982	166000
327	186649113	186649113	6.6695	5.544	500	100	500	100	500	100	500	100	500	50	500	50	500	200	251353	90144	107152	10715	73086	81374	176881	134847	136741	151839	30558	67423	1082880	0	5000	9860	1615330	34936	34936	33100	-1	-1	-1	-1	-1	-1	-1	-1	394	394	394	394	5010	166000
328	189563979	189563979	6.6887	5.5585	500	100	500	100	500	100	500	100	500	50	500	50	500	200	253563	90837	108070	10807	73924	82284	178561	136078	137987	153360	30864	68039	1088640	0	5000	9890	1625190	35115	35115	33200	-1	-1	-1	-1	-1	-1	-1	-1	396	396	396	396	5038	166000
329	192510555	192510555	6.7078	5.573	500	100	500	100	500	100	500	100	500	50	500	50	500	200	255786	91534	108993	10899	74768	83202	180253	137316	139242	154892	31173	68658	1094400	0	5000	9920	1635080	35296	35296	33300	-1	-1	-1	-1	-1	-1	-1	-1	398	398	398	398	5066	166000
330	195492668	195492668	6.727	5.5875	500	100	500	100	500	100	500	100	500	50	500	50	500	200	258022	92233	109921	10992	75618	84128	181957	138563	140504	156436	31484	69282	1100880	0	5000	9950	1645000	35477	35477	33400	-1	-1	-1	-1	-1	-1	-1	-1	400	400	400	400	5094	166000
331	198505062	198505062	6.7462	5.6019	500	100	500	100	500	100	500	100	500	50	500	50	500	200	260272	92936	110855	11086	76478	85062	183672	139818	141775	157991	31797	69909	1106640	0	5000	9980	1654950	35658	35658	33500	-1	-1	-1	-1	-1	-1	-1	-1	402	402	402	402	5122	166000
332	201553415	201553415	6.7654	5.6164	500	100	500	100	500	100	500	100	500	50	500	50	500	200	262535	93641	111795	11179	77344	86002	185399	141081	143054	159558	32112	70540	1113120	0	5000	10010	1664930	35841	35841	33600	-1	-1	-1	-1	-1	-1	-1	-1	404	404	404	404	5150	166000
333	204713274	204713274	6.7846	5.6309	500	100	500	100	500	100	500	100	500	50	500	50	500	200	264812	94350	112740	11274	78218	86952	187137	142352	144341	161137	32430	71176	1119600	0	5000	10040	1674940	36024	36024	33700	-1	-1	-1	-1	-1	-1	-1	-1	406	406	406	406	5180	166000
334	207829434	207829434	6.8038	5.6454	500	100	500	100	500	100	500	100	500	50	500	50	500	200	267393	95236	113690	11369	79096	87908	189095	143628	145633	162724	32749	71814	1125360	0	5000	10070	1684980	36207	36207	33800	-1	-1	-1	-1	-1	-1	-1	-1	408	408	408	408	5208	166000
335	211060907	211060907	6.8229	5.6598	500	100	500	100	500	100	500	100	500	50	500	50	500	200	270142	96215	114646	11465	79984	88870	191173	144911	146933	164322	33071	72456	1131840	0	5000	10100	1695050	36391	36391	33900	-1	-1	-1	-1	-1	-1	-1	-1	410	410	410	410	5238	166000
336	214247571	214247571	6.8421	5.6743	500	100	500	100	500	100	500	100	500	50	500	50	500	200	272912	97203	115607	11561	80878	89842	193269	146202	148240	165931	33395	73101	1137600	0	5000	10130	1705150	36576	36576	34000	-1	-1	-1	-1	-1	-1	-1	-1	412	412	412	412	5266	166000
337	217469418	217469418	6.8613	5.6888	500	100	500	100	500	100	500	100	500	50	500	50	500	200	275704	98198	116574	11657	81780	90820	195384	147502	149556	167552	33721	73751	1144080	0	5000	10160	1715280	36761	36761	34100	-1	-1	-1	-1	-1	-1	-1	-1	414	414	414	414	5294	166000
338	220807674	220807674	6.8805	5.7033	500	100	500	100	500	100	500	100	500	50	500	50	500	200	278518	99201	117547	11755	82688	91808	197517	148809	150880	169185	34049	74405	1150560	0	5000	10190	1725440	36947	36947	34200	-1	-1	-1	-1	-1	-1	-1	-1	416	416	416	416	5324	166000
339	224101308	224101308	6.8997	5.7177	500	100	500	100	500	100	500	100	500	50	500	50	500	200	281355	100212	118525	11853	83606	92802	199669	150125	152212	170830	34381	75063	1156320	0	5000	10220	1735630	37133	37133	34300	-1	-1	-1	-1	-1	-1	-1	-1	418	418	418	418	5352	166000
340	227513355	227513355	6.9189	5.7322	500	100	500	100	500	100	500	100	500	50	500	50	500	200	284213	101232	119509	11951	84530	93806	201840	151449	153553	172487	34714	75725	1162800	0	5000	10250	1745850	37320	37320	34400	-1	-1	-1	-1	-1	-1	-1	-1	420	420	420	420	5382	166000
341	230963028	230963028	6.938	5.7467	500	100	500	100	500	100	500	100	500	50	500	50	500	200	287095	102259	120499	12050	85464	94818	204029	152781	154902	174156	35050	76391	1169280	0	5000	10280	1756100	37508	37508	34500	-1	-1	-1	-1	-1	-1	-1	-1	422	422	422	422	5412	166000
342	234366367	234366367	6.9572	5.7612	500	100	500	100	500	100	500	100	500	50	500	50	500	200	289999	103294	121494	12149	86404	95838	206238	154122	156259	175837	35388	77061	1175760	0	5000	10310	1766380	37696	37696	34600	-1	-1	-1	-1	-1	-1	-1	-1	424	424	424	424	5440	166000
343	237891165	237891165	6.9764	5.7756	500	100	500	100	500	100	500	100	500	50	500	50	500	200	292926	104337	122495	12249	87352	96866	208465	155471	157625	177530	35729	77736	1182240	0	5000	10340	1776690	37885	37885	34700	-1	-1	-1	-1	-1	-1	-1	-1	426	426	426	426	5470	166000
344	241454263	241454263	6.9956	5.7901	500	100	500	100	500	100	500	100	500	50	500	50	500	200	295876	105389	123501	12350	88310	97904	210712	156828	159000	179236	36072	78414	1188720	0	5000	10370	1787030	38075	38075	34800	-1	-1	-1	-1	-1	-1	-1	-1	428	428	428	428	5500	166000
345	245055888	245055888	7.0148	5.8046	500	100	500	100	500	100	500	100	500	50	500	50	500	200	298848	106449	124513	12451	89274	98950	212978	158194	160382	180953	36418	79097	1195200	0	5000	10400	1797400	38265	38265	34900	-1	-1	-1	-1	-1	-1	-1	-1	430	430	430	430	5530	166000
346	248606838	248606838	7.034	5.819	500	100	500	100	500	100	500	100	500	50	500	50	500	200	301844	107517	125531	12553	90246	100004	215264	159568	161774	182684	36766	79784	1200960	0	5000	10430	1807800	38455	38455	35000	-1	-1	-1	-1	-1	-1	-1	-1	432	432	432	432	5558	166000
347	252287357	252287357	7.0531	5.8335	500	100	500	100	500	100	500	100	500	50	500	50	500	200	304864	108593	126555	12655	91226	101066	217569	160951	163174	184426	37117	80476	1207440	0	5000	10460	1818230	38647	38647	35100	-1	-1	-1	-1	-1	-1	-1	-1	434	434	434	434	5588	166000
348	256005089	256005089	7.0723	5.848	500	100	500	100	500	100	500	100	500	50	500	50	500	200	307906	109678	127584	12758	92216	102138	219894	162342	164582	186182	37470	81171	1213920	0	5000	10490	1828690	38839	38839	35200	-1	-1	-1	-1	-1	-1	-1	-1	436	436	436	436	5618	166000
349	259764268	259764268	7.0915	5.8625	500	100	500	100	500	100	500	100	500	50	500	50	500	200	310973	110771	128620	12862	93212	103218	222239	163742	165999	187949	37826	81871	1220400	0	5000	10520	1839180	39031	39031	35300	-1	-1	-1	-1	-1	-1	-1	-1	438	438	438	438	5648	166000
350	263563122	263563122	7.1107	5.8769	500	100	500	100	500	100	500	100	500	50	500	50	500	200	314063	111873	129661	12966	94218	104306	224604	165150	167425	189730	38184	82575	1226880	0	5000	10550	1849700	39225	39225	35400	-1	-1	-1	-1	-1	-1	-1	-1	440	440	440	440	5678	166000
351	267399837	267399837	7.1299	5.8914	500	100	500	100	500	100	500	100	500	50	500	50	500	200	317176	112983	130707	13071	95232	105404	226989	166567	168859	191523	38545	83284	1233360	0	5000	10580	1860250	39418	39418	35500	-1	-1	-1	-1	-1	-1	-1	-1	442	442	442	442	5708	166000
352	271278711	271278711	7.1491	5.9059	500	100	500	100	500	100	500	100	500	50	500	50	500	200	320314	114102	131760	13176	96254	106510	229394	167993	170303	193328	38909	83996	1239840	0	5000	10610	1870830	39613	39613	35600	-1	-1	-1	-1	-1	-1	-1	-1	444	444	444	444	5738	166000
353	275200003	275200003	7.1683	5.9203	500	100	500	100	500	100	500	100	500	50	500	50	500	200	323476	115229	132819	13282	97284	107624	231820	169427	171755	195147	39275	84713	1246320	0	5000	10640	1881440	39808	39808	35700	-1	-1	-1	-1	-1	-1	-1	-1	446	446	446	446	5768	166000
354	279159824	279159824	7.1874	5.9348	500	100	500	100	500	100	500	100	500	50	500	50	500	200	326662	116365	133883	13388	98322	108748	234266	170870	173215	196978	39643	85435	1252800	0	5000	10670	1892080	40004	40004	35800	-1	-1	-1	-1	-1	-1	-1	-1	448	448	448	448	5798	166000
355	283259677	283259677	7.2066	5.9493	500	100	500	100	500	100	500	100	500	50	500	50	500	200	329872	117510	134953	13495	99368	109882	236733	172321	174685	198822	40014	86161	1260000	0	5000	10700	1902750	40200	40200	35900	-1	-1	-1	-1	-1	-1	-1	-1	450	450	450	450	5830	166000
356	287302233	287302233	7.2258	5.9637	500	100	500	100	500	100	500	100	500	50	500	50	500	200	333107	118663	136029	13603	100424	111024	239220	173781	176163	200680	40388	86891	1266480	0	5000	10730	1913450	40397	40397	36000	-1	-1	-1	-1	-1	-1	-1	-1	452	452	452	452	5860	166000
357	291390269	291390269	7.245	5.9782	500	100	500	100	500	100	500	100	500	50	500	50	500	200	336367	119825	137111	13711	101488	112176	241729	175250	177650	202550	40765	87625	1272960	0	5000	10760	1924180	40594	40594	36100	-1	-1	-1	-1	-1	-1	-1	-1	454	454	454	454	5890	166000
358	295517723	295517723	7.2642	5.9927	500	100	500	100	500	100	500	100	500	50	500	50	500	200	339651	120996	138199	13820	102562	113336	244258	176728	179146	204433	41144	88364	1279440	0	5000	10790	1934940	40792	40792	36200	-1	-1	-1	-1	-1	-1	-1	-1	456	456	456	456	5920	166000
359	299789748	299789748	7.2834	6.0071	500	100	500	100	500	100	500	100	500	50	500	50	500	200	342960	122176	139293	13929	103642	114504	246809	178215	180651	206330	41525	89107	1285920	0	5000	10820	1945730	40991	40991	36300	-1	-1	-1	-1	-1	-1	-1	-1	458	458	458	458	5952	166000
360	304003964	304003964	7.3025	6.0216	500	100	500	100	500	100	500	100	500	50	500	50	500	200	346295	123365	140393	14039	104734	115684	249381	179710	182165	208240	41910	89855	1292400	0	5000	10850	1956550	41191	41191	36400	-1	-1	-1	-1	-1	-1	-1	-1	460	460	460	460	5982	166000
361	308260400	308260400	7.3384	6.0512	500	100	500	100	500	100	500	100	500	50	500	50	500	200	349654	124563	141499	14150	105700	116752	251974	181215	183688	210163	42297	90607	1298880	0	5000	10880	1967400	41391	41391	36500	-1	-1	-1	-1	-1	-1	-1	-1	462	462	462	462	6012	166000
362	312664873	312664873	7.3743	6.0808	500	100	500	100	500	100	500	100	500	50	500	50	500	200	353039	125770	142611	14261	106674	117828	254590	182728	185220	212099	42686	91364	1306080	0	5000	10910	1978280	41591	41591	36600	-1	-1	-1	-1	-1	-1	-1	-1	464	464	464	464	6044	166000
363	317011706	317011706	7.4103	6.1105	500	100	500	100	500	100	500	100	500	50	500	50	500	200	356449	126986	143729	14373	107654	118910	257226	184250	186761	214049	43079	92125	1312560	0	5000	10940	1989190	41793	41793	36700	-1	-1	-1	-1	-1	-1	-1	-1	466	466	466	466	6074	166000
364	321504576	321504576	7.4464	6.1403	500	100	500	100	500	100	500	100	500	50	500	50	500	200	359885	128211	144853	14485	108642	120002	259885	185782	188311	216012	43474	92891	1319040	0	5000	10970	2000130	41995	41995	36800	-1	-1	-1	-1	-1	-1	-1	-1	468	468	468	468	6106	166000
365	326044654	326044654	7.4825	6.1701	500	100	500	100	500	100	500	100	500	50	500	50	500	200	363346	129445	145983	14598	109636	121100	262566	187322	189870	217989	43872	93661	1326240	0	5000	11000	2011100	42197	42197	36900	-1	-1	-1	-1	-1	-1	-1	-1	470	470	470	470	6138	166000
366	330525078	330525078	7.5188	6.2	500	100	500	100	500	100	500	100	500	50	500	50	500	200	366833	130689	147119	14712	110638	122206	265269	188871	191438	219979	44272	94436	1332720	0	5000	11030	2022100	42401	42401	37000	-1	-1	-1	-1	-1	-1	-1	-1	472	472	472	472	6168	166000
367	335157241	335157241	7.5552	6.23	500	100	500	100	500	100	500	100	500	50	500	50	500	200	370347	131942	148261	14826	111646	123318	267994	190430	193015	221983	44676	95215	1339920	0	5000	11060	2033130	42605	42605	37100	-1	-1	-1	-1	-1	-1	-1	-1	474	474	474	474	6200	166000
368	339728386	339728386	7.5916	6.2601	500	100	500	100	500	100	500	100	500	50	500	50	500	200	373886	133204	149409	14941	112660	124440	270742	191997	194602	224001	45082	95999	1346400	0	5000	11090	2044190	42809	42809	37200	-1	-1	-1	-1	-1	-1	-1	-1	476	476	476	476	6230	166000
369	344453649	344453649	7.6281	6.2902	500	100	500	100	500	100	500	100	500	50	500	50	500	200	377452	134475	150564	15056	113682	125568	273512	193574	196198	226032	45491	96787	1352880	0	5000	11120	2055280	43014	43014	37300	-1	-1	-1	-1	-1	-1	-1	-1	478	478	478	478	6262	166000
370	349227444	349227444	7.6647	6.3204	500	100	500	100	500	100	500	100	500	50	500	50	500	200	381044	135756	151724	15172	114710	126704	276305	195160	197803	228078	45902	97580	1360080	0	5000	11150	2066400	43220	43220	37400	-1	-1	-1	-1	-1	-1	-1	-1	480	480	480	480	6294	166000
371	354047784	354047784	7.7014	6.3507	500	100	500	100	500	100	500	100	500	50	500	50	500	200	384663	137047	152891	15289	115746	127848	279120	196755	199417	230137	46317	98377	1366560	0	5000	11180	2077550	43427	43427	37500	-1	-1	-1	-1	-1	-1	-1	-1	482	482	482	482	6326	166000
372	358917186	358917186	7.7382	6.381	500	100	500	100	500	100	500	100	500	50	500	50	500	200	388308	138347	154064	15406	116790	129000	281959	198359	201041	232210	46734	99179	1373760	0	5000	11210	2088730	43634	43634	37600	-1	-1	-1	-1	-1	-1	-1	-1	484	484	484	484	6358	166000
373	363833638	363833638	7.7751	6.4114	500	100	500	100	500	100	500	100	500	50	500	50	500	200	391981	139657	155243	15524	117838	130160	284821	199972	202674	234297	47154	99986	1380960	0	5000	11240	2099940	43841	43841	37700	-1	-1	-1	-1	-1	-1	-1	-1	486	486	486	486	6390	166000
374	368799681	368799681	7.812	6.4419	500	100	500	100	500	100	500	100	500	50	500	50	500	200	395680	140976	156428	15643	118896	131326	287706	201595	204316	236398	47577	100797	1387440	0	5000	11270	2111180	44050	44050	37800	-1	-1	-1	-1	-1	-1	-1	-1	488	488	488	488	6422	166000
375	373815591	373815591	7.8491	6.4725	500	100	500	100	500	100	500	100	500	50	500	50	500	200	399406	142305	157619	15762	119960	132502	290615	203227	205968	238514	48003	101613	1394640	0	5000	11300	2122450	44259	44259	37900	-1	-1	-1	-1	-1	-1	-1	-1	490	490	490	490	6454	166000
376	378879324	378879324	7.8862	6.5031	500	100	500	100	500	100	500	100	500	50	500	50	500	200	402976	143577	158817	15882	121032	133686	293212	204870	207631	240645	48432	102435	1401120	0	5000	11330	2133750	44469	44469	38000	-1	-1	-1	-1	-1	-1	-1	-1	492	492	492	492	6486	166000
377	383993452	383993452	7.9234	6.5338	500	100	500	100	500	100	500	100	500	50	500	50	500	200	406569	144857	160021	16002	122110	134878	295826	206522	209303	242791	48864	103261	1408320	0	5000	11360	2145080	44679	44679	38100	-1	-1	-1	-1	-1	-1	-1	-1	494	494	494	494	6518	166000
378	389158254	389158254	7.9608	6.5646	500	100	500	100	500	100	500	100	500	50	500	50	500	200	410186	146146	161232	16123	123198	136078	298458	208184	210985	244951	49298	104092	1415520	0	5000	11390	2156440	44890	44890	38200	-1	-1	-1	-1	-1	-1	-1	-1	496	496	496	496	6550	166000
379	394374005	394374005	7.9982	6.5955	500	100	500	100	500	100	500	100	500	50	500	50	500	200	413827	147443	162448	16245	124292	137286	301108	209855	212677	247126	49736	104928	1422000	0	5000	11420	2167830	45102	45102	38300	-1	-1	-1	-1	-1	-1	-1	-1	498	498	498	498	6582	166000
380	399638615	399638615	8.0356	6.6264	500	100	500	100	500	100	500	100	500	50	500	50	500	200	417493	148749	163671	16367	125392	138502	303775	211536	214378	249315	50177	105768	1429200	0	5000	11450	2179250	45314	45314	38400	-1	-1	-1	-1	-1	-1	-1	-1	500	500	500	500	6614	166000
381	404954703	404954703	8.0732	6.6574	500	100	500	100	500	100	500	100	500	50	500	50	500	200	421183	150064	164900	16490	126500	139726	306460	213226	216088	251519	50620	106613	1435680	0	5000	11480	2190700	45527	45527	38500	-1	-1	-1	-1	-1	-1	-1	-1	502	502	502	502	6646	166000
382	410322547	410322547	8.1109	6.6885	500	100	500	100	500	100	500	100	500	50	500	50	500	200	424898	151388	166136	16614	127616	140960	309163	214926	217809	253737	51067	107463	1442880	0	5000	11510	2202180	45740	45740	38600	-1	-1	-1	-1	-1	-1	-1	-1	504	504	504	504	6678	166000
383	415866302	415866302	8.1486	6.7196	500	100	500	100	500	100	500	100	500	50	500	50	500	200	428637	152720	167378	16738	128740	142200	311884	216635	219538	255970	51516	108318	1450080	0	5000	11540	2213690	45955	45955	38700	-1	-1	-1	-1	-1	-1	-1	-1	506	506	506	506	6712	166000
384	421337107	421337107	8.1864	6.7508	500	100	500	100	500	100	500	100	500	50	500	50	500	200	432401	154061	168626	16863	129870	143448	314622	218354	221278	258218	51968	109177	1457280	0	5000	11570	2225230	46170	46170	38800	-1	-1	-1	-1	-1	-1	-1	-1	508	508	508	508	6744	166000
